Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Dumbbell hollow-body floor press,Strength,Abdominals,Dumbbell,Intermediate,Core,E00052,Endurance,Compound,Dumbbell
Dumbbell crusher,Strength,Abdominals,Dumbbell,Intermediate,Core,E00053,Endurance,Isolation,Dumbbell
Dumbbell Crunch - Gethin Variation,Strength,Abdominals,Dumbbell,Intermediate,Core,E00054,Hypertrophy,Isolation,Dumbbell
Single-arm dumbbell crunch,Strength,Abdominals,Dumbbell,Intermediate,Core,E00055,Endurance,Isolation,Dumbbell
HM Alternating Dumbbell Plank Row,Strength,Abdominals,Dumbbell,Intermediate,Core,E00056,FatLoss,Compound,Dumbbell
Dumbbell straight-legged hip raise,Strength,Abdominals,Dumbbell,Intermediate,Core,E00057,Hypertrophy,Isolation,Dumbbell
Seated leg tuck with dumbbell,Strength,Abdominals,Dumbbell,Intermediate,Core,E00058,FatLoss,Isolation,Dumbbell
Dumbbell V-sit cross jab-,Strength,Abdominals,Dumbbell,Intermediate,Core,E00059,Endurance,Isolation,Dumbbell
30 Hanging Leg Raise With Dumbbell,Strength,Abdominals,Dumbbell,Intermediate,Core,E00060,Endurance,Isolation,Dumbbell
Dumbbell Get-Up Sit-Up,Strength,Abdominals,Dumbbell,Expert,Core,E00061,FatLoss,Isolation,Dumbbell
Holman Right Side Plank with Left Triceps Press,Strength,Abdominals,Dumbbell,Intermediate,Core,E00062,Endurance,Compound,Dumbbell
Holman Left Side Plank with Right Triceps Press,Strength,Abdominals,Dumbbell,Intermediate,Core,E00063,Endurance,Compound,Dumbbell
Holman Boat with Feet Push-Out and Overhead Press,Strength,Abdominals,Dumbbell,Intermediate,Core,E00064,Endurance,Compound,Dumbbell
Holman Hovering Plank Row,Strength,Abdominals,Dumbbell,Intermediate,Core,E00065,FatLoss,Compound,Dumbbell
Holman Weighted Seated Killer Abs to Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,Core,E00066,Hypertrophy,Isolation,Dumbbell
Holman Straight Plank Dumbbell Reach-Under,Strength,Abdominals,Dumbbell,Intermediate,Core,E00067,Endurance,Isolation,Dumbbell
Holman Straight-Arm Side Plank Overhead Press to Chest Press,Strength,Abdominals,Dumbbell,Intermediate,Core,E00068,FatLoss,Compound,Dumbbell
Holman Weighted Burpee to Pike,Strength,Abdominals,Dumbbell,Intermediate,Core,E00069,Hypertrophy,Isolation,Dumbbell
Holman Straight-Legged Boat Chest Press,Strength,Abdominals,Dumbbell,Intermediate,Core,E00070,Endurance,Compound,Dumbbell
