Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Fire Hydrant,Strength,Abductors,Bodyweight,Beginner,Legs,E00649,Hypertrophy,Isolation,Bodyweight
Monster Walk,Strength,Abductors,Bodyweight,Intermediate,Legs,E00650,Hypertrophy,Isolation,Bodyweight
Side-To-Side Adductor Stretch,Strength,Adductors,Bodyweight,Intermediate,Legs,E00651,Mobility,Isolation,Bodyweight
Dynamic pigeon stretch,Strength,Abductors,Bodyweight,Intermediate,Legs,E00652,Mobility,Isolation,Bodyweight
Cross-over jack,Strength,Abductors,Bodyweight,Intermediate,Legs,E00653,Hypertrophy,Isolation,Bodyweight
Traveling thigh killa,Strength,Abductors,Bodyweight,Intermediate,Legs,E00654,Hypertrophy,Isolation,Bodyweight
FYR Thigh Killa,Strength,Abductors,Bodyweight,Intermediate,Legs,E00655,Hypertrophy,Isolation,Bodyweight
HM Frog Stretch,Strength,Abductors,Bodyweight,Intermediate,Legs,E00656,Mobility,Isolation,Bodyweight
HM Kick-Out,Strength,Abductors,Bodyweight,Intermediate,Legs,E00657,Hypertrophy,Isolation,Bodyweight
HM Left Leg Swing,Strength,Adductors,Bodyweight,Intermediate,Legs,E00658,Hypertrophy,Isolation,Bodyweight
UNS Foam Roll Adductor,Strength,Adductors,Bodyweight,Intermediate,Legs,E00659,Hypertrophy,Isolation,Bodyweight
MetaBurn Groiner,Strength,Abductors,Bodyweight,Intermediate,Legs,E00660,Hypertrophy,Isolation,Bodyweight
Side-lying leg adduction scissor,Strength,Adductors,Bodyweight,Intermediate,Legs,E00661,Hypertrophy,Isolation,Bodyweight
Incline dumbbell biceps curl,Strength,Biceps,Bands,Intermediate,Upper Body,E00662,FatLoss,Isolation,Bands
Banded biceps curl in squat position,Strength,Biceps,Bands,Intermediate,Upper Body,E00663,FatLoss,Compound,Bands
Banded Hammer Press - Gethin Variation,Strength,Biceps,Bands,Intermediate,Upper Body,E00664,Hypertrophy,Compound,Bands
Band standing concentration curl,Strength,Biceps,Bands,Intermediate,Upper Body,E00665,Hypertrophy,Isolation,Bands
Wide-grip barbell curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00666,Hypertrophy,Isolation,Barbell
EZ-bar spider curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00667,Hypertrophy,Isolation,Barbell
Barbell Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00668,Strength,Isolation,Barbell
Close-grip EZ-bar curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00669,Hypertrophy,Isolation,Barbell
Preacher Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00670,Strength,Isolation,Barbell
Barbell Curls Lying Against An Incline,Strength,Biceps,Barbell,Beginner,Upper Body,E00671,Strength,Isolation,Barbell
Seated Close-Grip Concentration Barbell Curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00672,Hypertrophy,Isolation,Barbell
Close-grip barbell curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00673,Strength,Isolation,Barbell
Drag curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00674,Strength,Isolation,Barbell
Reverse-grip barbell curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00675,Strength,Isolation,Barbell
Lying High Bench Barbell Curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00676,Hypertrophy,Compound,Barbell
Seated wide-grip curl to close-grip curl,Strength,Biceps,Barbell,Beginner,Upper Body,E00677,Hypertrophy,Isolation,Barbell
Seated Straigh-Bar Curl Superset,Strength,Biceps,Barbell,Beginner,Upper Body,E00678,Hypertrophy,Isolation,Barbell
Dave Draper Forehead Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00679,Strength,Isolation,Barbell
Reverse-grip EZ-bar curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00680,Hypertrophy,Isolation,Barbell
EZ-Bar Spider Curl - Gethin Variation,Strength,Biceps,Barbell,Intermediate,Upper Body,E00681,Hypertrophy,Isolation,Barbell
Barbell curl-,Strength,Biceps,Barbell,Intermediate,Upper Body,E00682,Strength,Isolation,Barbell
Paul Carter Barbell Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00683,Hypertrophy,Isolation,Barbell
Standing band biceps curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00684,Strength,Isolation,Barbell
Close-Grip EZ-Bar Curl - Gethin Variation,Strength,Biceps,Barbell,Intermediate,Upper Body,E00685,Hypertrophy,Isolation,Barbell
Seated Barbell Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00686,Hypertrophy,Isolation,Barbell
AM Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00687,Hypertrophy,Isolation,Barbell
EZ-bar preacher curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00688,Strength,Isolation,Barbell
30 Arms Standing Barbell Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00689,Strength,Isolation,Barbell
30 Arms Incline Biceps Curl,Strength,Biceps,Barbell,Intermediate,Upper Body,E00690,Hypertrophy,Isolation,Barbell
"Bicep Curls ""21s""",Strength,Biceps,Barbell,Intermediate,Upper Body,E00691,Hypertrophy,Isolation,Barbell
Incline Hammer Curls,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00692,Endurance,Isolation,Dumbbell
Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00693,FatLoss,Isolation,Dumbbell
Biceps curl to shoulder press,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00694,Endurance,Compound,Dumbbell
Concentration curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00695,FatLoss,Isolation,Dumbbell
Flexor Incline Dumbbell Curls,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00696,FatLoss,Isolation,Dumbbell
Dumbbell Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00697,Endurance,Isolation,Dumbbell
Cross-body hammer curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00698,Endurance,Isolation,Dumbbell
Dumbbell Alternate Bicep Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00699,FatLoss,Isolation,Dumbbell
Single-arm dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00700,Hypertrophy,Isolation,Dumbbell
Alternate Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00701,Endurance,Isolation,Dumbbell
Standing concentration curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00702,Endurance,Isolation,Dumbbell
Alternating incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00703,FatLoss,Isolation,Dumbbell
Alternate Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00704,Endurance,Isolation,Dumbbell
Seated dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00705,Endurance,Isolation,Dumbbell
Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00706,Hypertrophy,Isolation,Dumbbell
Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00707,Endurance,Isolation,Dumbbell
Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00708,Endurance,Isolation,Dumbbell
Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00709,FatLoss,Isolation,Dumbbell
Palms-out incline biceps curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00710,FatLoss,Isolation,Dumbbell
Straight-arm plank with biceps curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00711,Hypertrophy,Isolation,Dumbbell
Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00712,FatLoss,Isolation,Dumbbell
Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00713,FatLoss,Isolation,Dumbbell
Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body,E00714,Hypertrophy,Isolation,Dumbbell
Seated hammer curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00715,Endurance,Isolation,Dumbbell
Paul Carter Incline Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00716,FatLoss,Isolation,Dumbbell
Paul Carter Concentration Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00717,Endurance,Isolation,Dumbbell
FYR Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00718,Hypertrophy,Isolation,Dumbbell
Dumbbell biceps curl to upright row,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00719,Hypertrophy,Compound,Dumbbell
FYR Dumbbell Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00720,Hypertrophy,Isolation,Dumbbell
Dumbbell overhead hold with single-arm curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00721,Endurance,Isolation,Dumbbell
FYR Kneeling Biceps,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00722,Endurance,Isolation,Dumbbell
Lunge hold dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00723,FatLoss,Compound,Dumbbell
FYR Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00724,Endurance,Isolation,Dumbbell
Alternating dumbbell snatch,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00725,Endurance,Compound,Dumbbell
TBS Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00726,FatLoss,Isolation,Dumbbell
TBS Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00727,Endurance,Isolation,Dumbbell
Reverse-grip dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00728,Hypertrophy,Isolation,Dumbbell
Incline Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00729,Hypertrophy,Isolation,Dumbbell
Hammer curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00730,FatLoss,Isolation,Dumbbell
Seated Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00731,FatLoss,Isolation,Dumbbell
Dumbbell Hammer Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00732,Hypertrophy,Isolation,Dumbbell
Single-arm seated dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00733,Hypertrophy,Isolation,Dumbbell
Lying Cable Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00734,Hypertrophy,Isolation,Dumbbell
Dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00735,FatLoss,Isolation,Dumbbell
Seated Biceps Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00736,FatLoss,Isolation,Dumbbell
HM Alternating Reverse Lunge With Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00737,Endurance,Compound,Dumbbell
AM Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00738,FatLoss,Isolation,Dumbbell
AM Seated Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00739,FatLoss,Isolation,Dumbbell
Seated alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00740,Hypertrophy,Isolation,Dumbbell
Alternating hammer curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00741,FatLoss,Isolation,Dumbbell
Alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00742,Hypertrophy,Isolation,Dumbbell
Holman Slow Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00743,FatLoss,Isolation,Dumbbell
Holman Biceps Curl to Chest Punch,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00744,FatLoss,Isolation,Dumbbell
Holman Right Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00745,FatLoss,Isolation,Dumbbell
Holman Left Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00746,Hypertrophy,Isolation,Dumbbell
Holman Alternating Front Lunge Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00747,FatLoss,Compound,Dumbbell
Holman Weighted Double-Time Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00748,Hypertrophy,Isolation,Dumbbell
Holman Heavy Right Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00749,Endurance,Isolation,Dumbbell
Holman Heavy Left Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00750,FatLoss,Isolation,Dumbbell
MetaBurn Dumbbell Drag Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00751,Hypertrophy,Isolation,Dumbbell
MetaBurn Hammer Curl to Overhead Press,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00752,FatLoss,Compound,Dumbbell
MetaBurn Biceps Curl To Lateral Raise,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00753,Endurance,Isolation,Dumbbell
FYR2 Alternating Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00754,FatLoss,Isolation,Dumbbell
FYR2 Pulse Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00755,FatLoss,Isolation,Dumbbell
FYR2 Seesaw Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00756,Endurance,Isolation,Dumbbell
FYR2 Single-Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00757,Endurance,Isolation,Dumbbell
FYR2 Dumbbell Curl-Row Complex,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00758,FatLoss,Compound,Dumbbell
30 Arms Standing Dumbbell Hammer Curl 21s,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00759,Endurance,Isolation,Dumbbell
30 Arms Standing Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00760,Hypertrophy,Isolation,Dumbbell
30 Arms Standing Alternating Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00761,FatLoss,Isolation,Dumbbell
30 Arms Standing Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00762,Endurance,Isolation,Dumbbell
30 Arms Single-Arm Hammer Preacher Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00763,Endurance,Isolation,Dumbbell
30 Arms Single-Arm Dumbbell Preacher Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00764,Endurance,Isolation,Dumbbell
30 Arms Seated Dumbbell Concentration Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00765,Endurance,Isolation,Dumbbell
30 Arms Seated Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00766,FatLoss,Isolation,Dumbbell
30 Arms Seated Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00767,FatLoss,Isolation,Dumbbell
30 Arms Incline Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00768,FatLoss,Isolation,Dumbbell
30 Arms Incline Dumbbell Triceps Extension,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00769,Endurance,Isolation,Dumbbell
30 Arms Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body,E00770,FatLoss,Isolation,Dumbbell
Reverse Plate Curls,Strength,Biceps,Other,Beginner,Upper Body,E00771,Hypertrophy,Isolation,Other
Suspended Curl,Strength,Biceps,Other,Beginner,Upper Body,E00772,Hypertrophy,Isolation,Other
Plate hammer curl,Strength,Biceps,Other,Beginner,Upper Body,E00773,Hypertrophy,Isolation,Other
Barbell spider curl,Strength,Biceps,Other,Intermediate,Upper Body,E00774,Hypertrophy,Isolation,Other
Barbell forehead curl,Strength,Biceps,Other,Intermediate,Upper Body,E00775,Hypertrophy,Isolation,Other
Overhead cable curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00776,Hypertrophy,Isolation,Cable
Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner,Upper Body,E00777,Hypertrophy,Isolation,Cable
Reverse Cable Curl,Strength,Biceps,Cable,Beginner,Upper Body,E00778,Hypertrophy,Isolation,Cable
Standing Biceps Cable Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00779,Hypertrophy,Isolation,Cable
Cable rope hammer curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00780,Hypertrophy,Isolation,Cable
Lying cable biceps curl,Strength,Biceps,Cable,Beginner,Upper Body,E00781,Hypertrophy,Isolation,Cable
Cable rope preacher hammer curl,Strength,Biceps,Cable,Beginner,Upper Body,E00782,Hypertrophy,Isolation,Cable
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner,Upper Body,E00783,Hypertrophy,Compound,Cable
Cable EZ-Bar Preacher Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body,E00784,Hypertrophy,Isolation,Cable
Squatting cable EZ-bar biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00785,Hypertrophy,Compound,Cable
Cable straight-bar biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00786,Hypertrophy,Isolation,Cable
Standing reverse-grip cable curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00787,Hypertrophy,Isolation,Cable
Lying high-cable biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00788,Hypertrophy,Isolation,Cable
High-Pulley Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body,E00789,Hypertrophy,Compound,Cable
Standing High Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body,E00790,Hypertrophy,Isolation,Cable
High Cable Curls,Strength,Biceps,Cable,Intermediate,Upper Body,E00791,Hypertrophy,Isolation,Cable
Seated cable biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00792,Hypertrophy,Isolation,Cable
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body,E00793,Hypertrophy,Compound,Cable
Standing Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body,E00794,Hypertrophy,Isolation,Cable
Double Arm Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00795,Hypertrophy,Isolation,Cable
AM Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00796,Hypertrophy,Isolation,Cable
Single-arm cable biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00797,Hypertrophy,Isolation,Cable
UP Cable Curl With Straight Bar,Strength,Biceps,Cable,Intermediate,Upper Body,E00798,Hypertrophy,Isolation,Cable
30 Arms Cable Rope Hammer Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00799,Hypertrophy,Isolation,Cable
30 Arms Squatting Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00800,Hypertrophy,Compound,Cable
30 Arms High Cable Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00801,Hypertrophy,Isolation,Cable
30 Arms Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00802,Hypertrophy,Isolation,Cable
30 Arms Cable Concentration Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00803,Hypertrophy,Isolation,Cable
30 Arms BFR High Cable Curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00804,Hypertrophy,Isolation,Cable
BFR cable rope hammer curl,Strength,Biceps,Cable,Intermediate,Upper Body,E00805,Hypertrophy,Isolation,Cable
Machine Bicep Curl,Strength,Biceps,Machine,Beginner,Upper Body,E00806,Hypertrophy,Isolation,Machine
Machine Preacher Curls,Strength,Biceps,Machine,Beginner,Upper Body,E00807,Hypertrophy,Isolation,Machine
Single-arm machine preacher curl,Strength,Biceps,Machine,Intermediate,Upper Body,E00808,Hypertrophy,Isolation,Machine
Machine preacher curl,Strength,Biceps,Machine,Intermediate,Upper Body,E00809,Hypertrophy,Isolation,Machine
Smith machine drag curl,Strength,Biceps,Machine,Intermediate,Upper Body,E00810,Hypertrophy,Isolation,Machine
30 Arms BFR Machine Preacher Curl,Strength,Biceps,Machine,Intermediate,Upper Body,E00811,Hypertrophy,Isolation,Machine
TBS Chin-Up,Strength,Biceps,Bodyweight,Intermediate,Upper Body,E00812,Hypertrophy,Isolation,Bodyweight
Pull-up - Gethin Variation,Strength,Biceps,Bodyweight,Intermediate,Upper Body,E00813,Hypertrophy,Compound,Bodyweight
UN Pull-Up Supinated,Strength,Biceps,Bodyweight,Intermediate,Upper Body,E00814,Hypertrophy,Compound,Bodyweight
UN Pull-Up Pronated,Strength,Biceps,Bodyweight,Intermediate,Upper Body,E00815,Hypertrophy,Compound,Bodyweight
UN Pull-Up Neutral,Strength,Biceps,Bodyweight,Intermediate,Upper Body,E00816,Hypertrophy,Compound,Bodyweight
EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00817,Hypertrophy,Isolation,E-Z Curl Bar
Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner,Upper Body,E00818,Hypertrophy,Isolation,E-Z Curl Bar
Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,Beginner,Upper Body,E00819,Hypertrophy,Isolation,E-Z Curl Bar
Standing EZ-Bar Curl - Gethin Variation,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00820,Hypertrophy,Isolation,E-Z Curl Bar
TBS EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00821,Hypertrophy,Isolation,E-Z Curl Bar
Standing EZ-bar curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00822,Hypertrophy,Isolation,E-Z Curl Bar
30 Arms Standing Overhand EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00823,Hypertrophy,Isolation,E-Z Curl Bar
30 Arms EZ-Bar Spider Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00824,Hypertrophy,Isolation,E-Z Curl Bar
30 Arms EZ-Bar Preacher Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00825,Hypertrophy,Isolation,E-Z Curl Bar
30 Arms Standing EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body,E00826,Hypertrophy,Isolation,E-Z Curl Bar
Calf Raises - With Bands,Strength,Calves,Bands,Beginner,Legs,E00827,FatLoss,Isolation,Bands
Rocking Standing Calf Raise,Strength,Calves,Barbell,Beginner,Legs,E00828,Strength,Isolation,Barbell
Standing barbell calf raise,Strength,Calves,Barbell,Beginner,Legs,E00829,Strength,Isolation,Barbell
Barbell Seated Calf Raise,Strength,Calves,Barbell,Beginner,Legs,E00830,Hypertrophy,Isolation,Barbell
Smith machine standing calf raise,Strength,Calves,Barbell,Intermediate,Legs,E00831,Strength,Isolation,Barbell
Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,Beginner,Legs,E00832,Hypertrophy,Isolation,Dumbbell
Standing Dumbbell Calf Raise,Strength,Calves,Dumbbell,Intermediate,Legs,E00833,FatLoss,Isolation,Dumbbell
Single-leg standing dumbbell calf raise,Strength,Calves,Dumbbell,Intermediate,Legs,E00834,Endurance,Isolation,Dumbbell
Dumbbell walking calf raise,Strength,Calves,Dumbbell,Intermediate,Legs,E00835,FatLoss,Isolation,Dumbbell
Balance Board,Strength,Calves,Other,Beginner,Legs,E00836,Hypertrophy,Isolation,Other
Weighted donkey calf raise,Strength,Calves,Other,Intermediate,Legs,E00837,Hypertrophy,Isolation,Other
Single-leg machine seated calf raise,Strength,Calves,Other,Intermediate,Legs,E00838,Hypertrophy,Isolation,Other
Smith Machine Calf Raise,Strength,Calves,Machine,Intermediate,Legs,E00839,Hypertrophy,Isolation,Machine
Standing Calf Raises,Strength,Calves,Machine,Beginner,Legs,E00840,Hypertrophy,Isolation,Machine
Seated Calf Raise,Strength,Calves,Machine,Intermediate,Legs,E00841,Hypertrophy,Isolation,Machine
Calf Press On The Leg Press Machine,Strength,Calves,Machine,Intermediate,Legs,E00842,Hypertrophy,Compound,Machine
Calf Press,Strength,Calves,Machine,Beginner,Legs,E00843,Hypertrophy,Compound,Machine
Smith Machine Reverse Calf Raises,Strength,Calves,Machine,Beginner,Legs,E00844,Hypertrophy,Isolation,Machine
Seated Single-Leg Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00845,Hypertrophy,Compound,Machine
Seated Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00846,Hypertrophy,Isolation,Machine
Donkey Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00847,Hypertrophy,Isolation,Machine
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00848,Hypertrophy,Compound,Machine
Calf Press On A Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00849,Hypertrophy,Compound,Machine
Smith Machine Standing Calf Raises - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00850,Hypertrophy,Isolation,Machine
Hack squat calf raise,Strength,Calves,Machine,Intermediate,Legs,E00851,Hypertrophy,Compound,Machine
Seated Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs,E00852,Hypertrophy,Compound,Machine
Leg press calf raise,Strength,Calves,Machine,Intermediate,Legs,E00853,Hypertrophy,Compound,Machine
Machine seated calf raise,Strength,Calves,Machine,Intermediate,Legs,E00854,Hypertrophy,Isolation,Machine
30 Legs Seated Calf Raise,Strength,Calves,Machine,Intermediate,Legs,E00855,Hypertrophy,Isolation,Machine
30 Legs Standing Calf Raise,Strength,Calves,Machine,Intermediate,Legs,E00856,Hypertrophy,Isolation,Machine
Standing Calf Raise,Strength,Calves,Bodyweight,Intermediate,Legs,E00857,Hypertrophy,Isolation,Bodyweight
Standing calf raise-,Strength,Calves,Bodyweight,Intermediate,Legs,E00858,Hypertrophy,Isolation,Bodyweight
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Bodyweight,Intermediate,Legs,E00859,Hypertrophy,Isolation,Bodyweight
Cross Over - With Bands,Strength,Chest,Bands,Beginner,Upper Body,E00860,FatLoss,Isolation,Bands
Bench Press - With Bands,Strength,Chest,Bands,Beginner,Upper Body,E00861,Hypertrophy,Compound,Bands
Feet-Elevated TRX Push-Up,Strength,Chest,Bands,Beginner,Upper Body,E00862,Endurance,Compound,Bands
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,Upper Body,E00863,FatLoss,Compound,Bands
HM Banded Cross-Over Pull,Strength,Chest,Bands,Intermediate,Upper Body,E00864,Hypertrophy,Compound,Bands
Rusin Band Pull-Apart,Strength,Chest,Bands,Intermediate,Upper Body,E00865,Endurance,Compound,Bands
UNS Banded Push-Up,Strength,Chest,Bands,Intermediate,Upper Body,E00866,Endurance,Compound,Bands
Taylor Band-Assisted One-Arm Push-Up,Strength,Chest,Bands,Intermediate,Upper Body,E00867,Hypertrophy,Compound,Bands
Incline band bench press,Strength,Chest,Bands,Intermediate,Upper Body,E00868,Endurance,Compound,Bands
Band push-up,Strength,Chest,Bands,Intermediate,Upper Body,E00869,FatLoss,Compound,Bands
Band chest fly,Strength,Chest,Bands,Intermediate,Upper Body,E00870,FatLoss,Isolation,Bands
Close-grip bench press,Strength,Chest,Barbell,Intermediate,Upper Body,E00871,Hypertrophy,Compound,Barbell
