Title,Type,BodyPart,Equipment,Level,BodyGroup
MetaBurn Dumbbell Russian Twist,Strength,Abdominals,Dumbbell,Intermediate,Core
MetaBurn Dumbbell Toe-Touch,Strength,Abdominals,Dumbbell,Intermediate,Core
MetaBurn Plank To Alternating Row,Strength,Abdominals,Dumbbell,Intermediate,Core
Standing dumbbell knee crunch-,Strength,Abdominals,Dumbbell,Intermediate,Core
MetaBurn Plank With Dumbbell Rotation,Strength,Abdominals,Dumbbell,Intermediate,Core
FYR2 Dumbbell Crab Reach,Strength,Abdominals,Dumbbell,Intermediate,Core
FYR2 Dumbbell Man-Maker,Strength,Abdominals,Dumbbell,Intermediate,Core
FYR2 Dumbbell Sit-Up Reach,Strength,Abdominals,Dumbbell,Intermediate,Core
FYR2 Loaded Beast Sprawl,Strength,Abdominals,Dumbbell,Intermediate,Core
FYR2 Loaded to Unloaded Beast,Strength,Abdominals,Dumbbell,Intermediate,Core
Lying Leg Pullover,Strength,Abdominals,Dumbbell,Intermediate,Core
Landmine twist,Strength,Abdominals,Other,Intermediate,Core
Suspended ab fall-out,Strength,Abdominals,Other,Intermediate,Core
Decline reverse crunch,Strength,Abdominals,Other,Intermediate,Core
Plate Twist,Strength,Abdominals,Other,Beginner,Core
Weighted Crunches,Strength,Abdominals,Other,Intermediate,Core
Ab Roller,Strength,Abdominals,Other,Intermediate,Core
Otis-Up,Strength,Abdominals,Other,Intermediate,Core
Captain's chair knee raise,Strength,Abdominals,Other,Intermediate,Core
Sledgehammer swing,Plyometrics,Abdominals,Other,Intermediate,Core
Decline bar press sit-up,Strength,Abdominals,Barbell,Intermediate,Core
Pallof press,Strength,Abdominals,Other,Intermediate,Core
Weighted Sit-Ups - With Bands,Strength,Abdominals,Other,Intermediate,Core
Suitcase crunch,Strength,Abdominals,Other,Intermediate,Core
FYR Rope Jumping,Strength,Abdominals,Other,Intermediate,Core
Barbell press sit-up,Strength,Abdominals,Other,Intermediate,Core
Single-arm bent-over rear delt fly,Strength,Abdominals,Other,Intermediate,Core
Captain's chair leg raise,Strength,Abdominals,Other,Intermediate,Core
Shoulder-Elevated One-Leg Hip Thrusts,Strength,Abdominals,Other,Intermediate,Core
Ab Twist - Gethin Variation,Strength,Abdominals,Other,Intermediate,Core
Weighted Crunch - Gethin Variation,Strength,Abdominals,Other,Intermediate,Core
Ab Wheel Roll-Out - Gethin Variation,Strength,Abdominals,Other,Intermediate,Core
Bench crunch,Strength,Abdominals,Other,Intermediate,Core
Decline plate sit-up twist,Strength,Abdominals,Other,Intermediate,Core
Reverse ab roll-out,Strength,Abdominals,Other,Intermediate,Core
30 Seated Twist With PVC Pipe,Strength,Abdominals,Other,Intermediate,Core
Suspended crunch-,Strength,Abdominals,Other,Intermediate,Core
Suspended oblique crunch,Strength,Abdominals,Other,Intermediate,Core
Weighted sit-up,Strength,Abdominals,Other,Intermediate,Core
30 Decline Press Sit-Up,Strength,Abdominals,Other,Intermediate,Core
Holman Towel Reverse Plank Alternating Heel Pull-in,Strength,Abdominals,Other,Intermediate,Core
Holman Boat with Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Hook Punch,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Traveling Punch,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Uppercut Punch,Strength,Abdominals,Other,Intermediate,Core
Holman Slow Weighted Double Pike,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Straight Plank Reach,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Elbow Plank Jack to Straight Plank Jack,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Hill Climber,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Reverse Plank Hill Climber,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Straight Plank Pike to Jack,Strength,Abdominals,Other,Intermediate,Core
Holman Plate In-and-Out Push-Up,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Burpee,Strength,Abdominals,Other,Intermediate,Core
Holman Plate Elbow Plank Reach,Strength,Abdominals,Other,Intermediate,Core
Holman Elbow Plank to Renegade Row,Strength,Abdominals,Other,Intermediate,Core
Holman Straight Plank Weighted Hand Hill Climber,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Left Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Right Side Diagonal Pike,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted W-Boat to Overhead Press,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Kneeling Lift,Strength,Abdominals,Other,Intermediate,Core
Holman Hips-Up Weighted Pull-Over,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Cross Punch,Strength,Abdominals,Other,Intermediate,Core
Holman Straight-Leg Boat Hover Chest Press,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Pike,Strength,Abdominals,Other,Intermediate,Core
Holman Feet-Elevated Wax-On Wax-Off,Strength,Abdominals,Other,Intermediate,Core
Holman Elbow Plank to Towel Pike,Strength,Abdominals,Other,Intermediate,Core
Holman Seated Killer Abs Overhead Press,Strength,Abdominals,Other,Intermediate,Core
Holman Straight Plank Alternating Weighted Open,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Killer Abs with Overhead Press,Strength,Abdominals,Other,Intermediate,Core
Holman Weighted Split-Leg Pike,Strength,Abdominals,Other,Intermediate,Core
Holman Towel Reverse Plank Heel Pull-in,Strength,Abdominals,Other,Intermediate,Core
Stick Twist,Strength,Abdominals,Other,Intermediate,Core
Roc Everest,Cardio,Abdominals,Other,Intermediate,Core
Standing cable low-to-high twist,Strength,Abdominals,Cable,Intermediate,Core
Single-arm high-cable side bend,Strength,Abdominals,Cable,Intermediate,Core
Kneeling cable oblique crunch,Strength,Abdominals,Cable,Intermediate,Core
Kneeling cable crunch,Strength,Abdominals,Cable,Intermediate,Core
Rope Crunch,Strength,Abdominals,Cable,Intermediate,Core
Standing cable crunch,Strength,Abdominals,Cable,Intermediate,Core
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,Beginner,Core
Standing Cable Wood Chop,Strength,Abdominals,Cable,Intermediate,Core
Cable reverse crunch,Strength,Abdominals,Cable,Beginner,Core
Cable Russian Twists,Strength,Abdominals,Cable,Beginner,Core
Pallof press with rotation,Strength,Abdominals,Cable,Intermediate,Core
Cable Seated Crunch,Strength,Abdominals,Cable,Beginner,Core
Cable Judo Flip,Strength,Abdominals,Cable,Beginner,Core
Exercise Ball Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate,Core
Standing cable high-to-low twist,Strength,Abdominals,Cable,Intermediate,Core
Bent-Over Reverse Cable Fly,Strength,Abdominals,Cable,Intermediate,Core
Standing Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate,Core
AM Cable Crunch,Strength,Abdominals,Cable,Intermediate,Core
Tyler Holt Weighted Knee-To-Chest Crunch,Strength,Abdominals,Cable,Intermediate,Core
Standing cable twist,Strength,Abdominals,Cable,Intermediate,Core
30 Cable Rope Crunch,Strength,Abdominals,Cable,Intermediate,Core
30 Cable Rope Oblique Crunch,Strength,Abdominals,Cable,Intermediate,Core
Cable lying twist on ball,Strength,Abdominals,Cable,Intermediate,Core
30 Cable Pallof Press,Strength,Abdominals,Cable,Intermediate,Core
30 Cable Reverse Crunch On Ball,Strength,Abdominals,Cable,Intermediate,Core
30 Cable Reverse Crunch,Strength,Abdominals,Cable,Intermediate,Core
Tyler Holt Cable Torso Twist,Strength,Abdominals,Cable,Intermediate,Core
Single-Arm Cable Outward-Facing Biceps Curl,Strength,Abdominals,Cable,Intermediate,Core
Biceps Rope Curl,Strength,Abdominals,Cable,Intermediate,Core
Kneeling Cable Crunches,Strength,Abdominals,Cable,Intermediate,Core
Ab Crunch Machine,Strength,Abdominals,Machine,Intermediate,Core
Smith machine straight-legged hip raise,Strength,Abdominals,Machine,Intermediate,Core
Machine crunch,Strength,Abdominals,Machine,Intermediate,Core
AM Ab Machine,Strength,Abdominals,Machine,Intermediate,Core
Smith machine V-up,Strength,Abdominals,Machine,Intermediate,Core
Elbow plank,Strength,Abdominals,Bodyweight,Intermediate,Core
Bottoms Up,Strength,Abdominals,Bodyweight,Intermediate,Core
Spider crawl,Strength,Abdominals,Bodyweight,Intermediate,Core
Cocoons,Strength,Abdominals,Bodyweight,Intermediate,Core
Cross-Body Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Elbow-to-knee crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Decline Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Hanging toes-to-bar,Strength,Abdominals,Bodyweight,Intermediate,Core
Hanging Oblique Knee Raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Gorilla Chin/Crunch,Strength,Abdominals,Bodyweight,Beginner,Core
Hanging leg raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Mountain climber,Plyometrics,Abdominals,Bodyweight,Intermediate,Core
Ab bicycle,Strength,Abdominals,Bodyweight,Intermediate,Core
3/4 sit-up,Strength,Abdominals,Bodyweight,Intermediate,Core
Reverse crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Crunches,Strength,Abdominals,Bodyweight,Intermediate,Core
Dead bug reach,Strength,Abdominals,Bodyweight,Intermediate,Core
Crunch - Hands Overhead,Strength,Abdominals,Bodyweight,Beginner,Core
V-up,Strength,Abdominals,Bodyweight,Intermediate,Core
Stomach Vacuum,Stretching,Abdominals,Bodyweight,Beginner,Core
Russian twist,Strength,Abdominals,Bodyweight,Intermediate,Core
Flat Bench Lying Leg Raise,Strength,Abdominals,Bodyweight,Intermediate,Core
Knees tucked crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Butt-Ups,Strength,Abdominals,Bodyweight,Beginner,Core
Feet-elevated oblique crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Bent-knee reverse crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Alternating heel-touch,Strength,Abdominals,Bodyweight,Intermediate,Core
Suspended Reverse Crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Lying bench reverse crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Sit-up,Strength,Abdominals,Bodyweight,Intermediate,Core
Side Bridge,Strength,Abdominals,Bodyweight,Intermediate,Core
Lying oblique crunch,Strength,Abdominals,Bodyweight,Intermediate,Core
Janda Sit-Up,Strength,Abdominals,Bodyweight,Beginner,Core
Leg Pull-In,Strength,Abdominals,Bodyweight,Beginner,Core
Side Jackknife,Strength,Abdominals,Bodyweight,Intermediate,Core
