Title,Type,BodyPart,Equipment,Level,BodyGroup
Alternate Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Seated dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Preacher Hammer Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Dumbbell preacher curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Lying Supine Dumbbell Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Standing Dumbbell Reverse Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Palms-out incline biceps curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Straight-arm plank with biceps curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Face-down incline dumbbell biceps curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Seated Dumbbell Inner Biceps Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Standing Inner-Biceps Curl,Strength,Biceps,Dumbbell,Beginner,Upper Body
Seated hammer curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Paul Carter Incline Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Paul Carter Concentration Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Dumbbell biceps curl to upright row,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR Dumbbell Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Dumbbell overhead hold with single-arm curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR Kneeling Biceps,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Lunge hold dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Alternating dumbbell snatch,Strength,Biceps,Dumbbell,Intermediate,Upper Body
TBS Incline Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
TBS Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Reverse-grip dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Incline Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Hammer curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Seated Dumbbell Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Dumbbell Hammer Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Single-arm seated dumbbell curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Lying Cable Curl - Gethin Variation,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Dumbbell biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Seated Biceps Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
HM Alternating Reverse Lunge With Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
AM Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,Upper Body
AM Seated Hammer Curls,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Seated alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Alternating hammer curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Alternating biceps curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Slow Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Biceps Curl to Chest Punch,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Right Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Left Arm Heavy Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Alternating Front Lunge Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Weighted Double-Time Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Heavy Right Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Holman Heavy Left Arm Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
MetaBurn Dumbbell Drag Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
MetaBurn Hammer Curl to Overhead Press,Strength,Biceps,Dumbbell,Intermediate,Upper Body
MetaBurn Biceps Curl To Lateral Raise,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR2 Alternating Dumbbell Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR2 Pulse Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR2 Seesaw Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR2 Single-Dumbbell Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
FYR2 Dumbbell Curl-Row Complex,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Standing Dumbbell Hammer Curl 21s,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Standing Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Standing Alternating Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Standing Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Single-Arm Hammer Preacher Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Single-Arm Dumbbell Preacher Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Seated Dumbbell Concentration Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Seated Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Seated Alternating Biceps Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Incline Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Incline Dumbbell Triceps Extension,Strength,Biceps,Dumbbell,Intermediate,Upper Body
30 Arms Hammer Curl,Strength,Biceps,Dumbbell,Intermediate,Upper Body
Reverse Plate Curls,Strength,Biceps,Other,Beginner,Upper Body
Standing Biceps Stretch,Stretching,Biceps,Other,Beginner,Upper Body
Suspended Curl,Strength,Biceps,Other,Beginner,Upper Body
Plate hammer curl,Strength,Biceps,Other,Beginner,Upper Body
Barbell spider curl,Strength,Biceps,Other,Intermediate,Upper Body
Barbell forehead curl,Strength,Biceps,Other,Intermediate,Upper Body
Overhead cable curl,Strength,Biceps,Cable,Intermediate,Upper Body
Standing One-Arm Cable Curl,Strength,Biceps,Cable,Beginner,Upper Body
Reverse Cable Curl,Strength,Biceps,Cable,Beginner,Upper Body
Standing Biceps Cable Curl,Strength,Biceps,Cable,Intermediate,Upper Body
Cable rope hammer curl,Strength,Biceps,Cable,Intermediate,Upper Body
Lying cable biceps curl,Strength,Biceps,Cable,Beginner,Upper Body
Cable rope preacher hammer curl,Strength,Biceps,Cable,Beginner,Upper Body
Lying Close-Grip Bar Curl On High Pulley,Strength,Biceps,Cable,Beginner,Upper Body
Cable EZ-Bar Preacher Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body
Squatting cable EZ-bar biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body
Cable straight-bar biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body
Standing reverse-grip cable curl,Strength,Biceps,Cable,Intermediate,Upper Body
Lying high-cable biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body
High-Pulley Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body
Standing High Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body
High Cable Curls,Strength,Biceps,Cable,Intermediate,Upper Body
Seated cable biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body
Lying Close-Grip Bar Curl On High Pulley - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body
Standing Cable Curl - Gethin Variation,Strength,Biceps,Cable,Intermediate,Upper Body
Double Arm Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,Upper Body
AM Cable Biceps Curl,Strength,Biceps,Cable,Intermediate,Upper Body
Single-arm cable biceps curl,Strength,Biceps,Cable,Intermediate,Upper Body
UP Cable Curl With Straight Bar,Strength,Biceps,Cable,Intermediate,Upper Body
30 Arms Cable Rope Hammer Curl,Strength,Biceps,Cable,Intermediate,Upper Body
30 Arms Squatting Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate,Upper Body
30 Arms High Cable Curl,Strength,Biceps,Cable,Intermediate,Upper Body
30 Arms Cable Straight-Bar Curl,Strength,Biceps,Cable,Intermediate,Upper Body
30 Arms Cable Concentration Curl,Strength,Biceps,Cable,Intermediate,Upper Body
30 Arms BFR High Cable Curl,Strength,Biceps,Cable,Intermediate,Upper Body
BFR cable rope hammer curl,Strength,Biceps,Cable,Intermediate,Upper Body
Machine Bicep Curl,Strength,Biceps,Machine,Beginner,Upper Body
Machine Preacher Curls,Strength,Biceps,Machine,Beginner,Upper Body
Single-arm machine preacher curl,Strength,Biceps,Machine,Intermediate,Upper Body
Machine preacher curl,Strength,Biceps,Machine,Intermediate,Upper Body
Smith machine drag curl,Strength,Biceps,Machine,Intermediate,Upper Body
30 Arms BFR Machine Preacher Curl,Strength,Biceps,Machine,Intermediate,Upper Body
Seated Biceps,Stretching,Biceps,Bodyweight,Beginner,Upper Body
TBS Chin-Up,Strength,Biceps,Bodyweight,Intermediate,Upper Body
Pull-up - Gethin Variation,Strength,Biceps,Bodyweight,Intermediate,Upper Body
UN Pull-Up Supinated,Strength,Biceps,Bodyweight,Intermediate,Upper Body
UN Pull-Up Pronated,Strength,Biceps,Bodyweight,Intermediate,Upper Body
UN Pull-Up Neutral,Strength,Biceps,Bodyweight,Intermediate,Upper Body
EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
Reverse Barbell Preacher Curls,Strength,Biceps,E-Z Curl Bar,Beginner,Upper Body
Close-Grip EZ-Bar Curl with Band,Strength,Biceps,E-Z Curl Bar,Beginner,Upper Body
Standing EZ-Bar Curl - Gethin Variation,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
TBS EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
Standing EZ-bar curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
30 Arms Standing Overhand EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
30 Arms EZ-Bar Spider Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
30 Arms EZ-Bar Preacher Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
30 Arms Standing EZ-Bar Curl,Strength,Biceps,E-Z Curl Bar,Intermediate,Upper Body
Calf Raises - With Bands,Strength,Calves,Bands,Beginner,Legs
Peroneals Stretch,Stretching,Calves,Bands,Intermediate,Legs
Posterior Tibialis Stretch,Stretching,Calves,Bands,Intermediate,Legs
Calf SMR,Stretching,Calves,Foam Roll,Beginner,Legs
Rocking Standing Calf Raise,Strength,Calves,Barbell,Beginner,Legs
Standing barbell calf raise,Strength,Calves,Barbell,Beginner,Legs
Barbell Seated Calf Raise,Strength,Calves,Barbell,Beginner,Legs
Smith machine standing calf raise,Strength,Calves,Barbell,Intermediate,Legs
Calf Raise On A Dumbbell,Strength,Calves,Dumbbell,Beginner,Legs
Standing Dumbbell Calf Raise,Strength,Calves,Dumbbell,Intermediate,Legs
Single-leg standing dumbbell calf raise,Strength,Calves,Dumbbell,Intermediate,Legs
Dumbbell walking calf raise,Strength,Calves,Dumbbell,Intermediate,Legs
Balance Board,Strength,Calves,Other,Beginner,Legs
Weighted donkey calf raise,Strength,Calves,Other,Intermediate,Legs
Anterior Tibialis-SMR,Stretching,Calves,Other,Beginner,Legs
Foot-SMR,Stretching,Calves,Other,Beginner,Legs
Agility Ladder,Cardio,Calves,Other,Intermediate,Legs
Single-leg machine seated calf raise,Strength,Calves,Other,Intermediate,Legs
Smith Machine Calf Raise,Strength,Calves,Machine,Intermediate,Legs
Standing Calf Raises,Strength,Calves,Machine,Beginner,Legs
Seated Calf Raise,Strength,Calves,Machine,Intermediate,Legs
Calf Press On The Leg Press Machine,Strength,Calves,Machine,Intermediate,Legs
Calf Press,Strength,Calves,Machine,Beginner,Legs
Smith Machine Reverse Calf Raises,Strength,Calves,Machine,Beginner,Legs
Seated Single-Leg Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Seated Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Donkey Calf Raise - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Standing Calf Raise Facing Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Calf Press On A Hack Squat Machine - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Smith Machine Standing Calf Raises - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Hack squat calf raise,Strength,Calves,Machine,Intermediate,Legs
Seated Calf Press - Gethin Variation,Strength,Calves,Machine,Intermediate,Legs
Leg press calf raise,Strength,Calves,Machine,Intermediate,Legs
Machine seated calf raise,Strength,Calves,Machine,Intermediate,Legs
30 Legs Seated Calf Raise,Strength,Calves,Machine,Intermediate,Legs
30 Legs Standing Calf Raise,Strength,Calves,Machine,Intermediate,Legs
Peroneals-SMR,Stretching,Calves,Bodyweight,Intermediate,Legs
Knee Circles,Stretching,Calves,Bodyweight,Beginner,Legs
Standing Gastrocnemius Calf Stretch,Stretching,Calves,Bodyweight,Intermediate,Legs
Wall calf stretch,Stretching,Calves,Bodyweight,Intermediate,Legs
Seated Calf Stretch,Stretching,Calves,Bodyweight,Intermediate,Legs
Standing Calf Raise,Strength,Calves,Bodyweight,Intermediate,Legs
Standing calf raise-,Strength,Calves,Bodyweight,Intermediate,Legs
HM Left Calf-Spike Sumo Pulse,Strength,Calves,Bodyweight,Intermediate,Legs
Ankle Circles,Stretching,Calves,Bodyweight,Beginner,Legs
Calf Stretch Elbows Against Wall,Stretching,Calves,Bodyweight,Beginner,Legs
Standing Soleus And Achilles Stretch,Stretching,Calves,Bodyweight,Beginner,Legs
Cross Over - With Bands,Strength,Chest,Bands,Beginner,Upper Body
Bench Press - With Bands,Strength,Chest,Bands,Beginner,Upper Body
Bench Press With Short Bands,Powerlifting,Chest,Bands,Beginner,Upper Body
Feet-Elevated TRX Push-Up,Strength,Chest,Bands,Beginner,Upper Body
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,Upper Body
HM Banded Cross-Over Pull,Strength,Chest,Bands,Intermediate,Upper Body
Rusin Band Pull-Apart,Strength,Chest,Bands,Intermediate,Upper Body
UNS Banded Push-Up,Strength,Chest,Bands,Intermediate,Upper Body
Taylor Band-Assisted One-Arm Push-Up,Strength,Chest,Bands,Intermediate,Upper Body
Incline band bench press,Strength,Chest,Bands,Intermediate,Upper Body
Band push-up,Strength,Chest,Bands,Intermediate,Upper Body
Band chest fly,Strength,Chest,Bands,Intermediate,Upper Body
Close-grip bench press,Strength,Chest,Barbell,Intermediate,Upper Body
Barbell Bench Press - Medium Grip,Strength,Chest,Barbell,Intermediate,Upper Body
Decline barbell bench press,Strength,Chest,Barbell,Intermediate,Upper Body
Wide-grip bench press,Strength,Chest,Barbell,Beginner,Upper Body
Wide-Grip Decline Barbell Bench Press,Strength,Chest,Barbell,Beginner,Upper Body
Barbell Incline Bench Press Medium-Grip,Strength,Chest,Barbell,Intermediate,Upper Body
Neck Press,Strength,Chest,Barbell,Beginner,Upper Body
Front Raise And Pullover,Strength,Chest,Barbell,Beginner,Upper Body
Board bench press,Powerlifting,Chest,Barbell,Intermediate,Upper Body
Barbell Bench Press-Wide Grip,Strength,Chest,Barbell,Beginner,Upper Body
Wide-Grip Decline Barbell Pullover,Strength,Chest,Barbell,Beginner,Upper Body
Barbell Guillotine Bench Press,Strength,Chest,Barbell,Beginner,Upper Body
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,Upper Body
Paul Carter Incline Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
Incline bench press,Strength,Chest,Barbell,Intermediate,Upper Body
Bench press,Strength,Chest,Barbell,Intermediate,Upper Body
TBS Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
AM Flat Bench Barbell Press,Strength,Chest,Barbell,Intermediate,Upper Body
UP Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
UP Close-Grip Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
King Maker Barbell Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
King Maker Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
30 Chest Incline Barbell Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
30 Chest Barbell Bench Press,Strength,Chest,Barbell,Intermediate,Upper Body
30 Chest 30-Degree Incline Dumbbell Press,Strength,Chest,Barbell,Intermediate,Upper Body
Spoto press,Strength,Chest,Barbell,Intermediate,Upper Body
Kettlebell plyo push-up,Strength,Chest,Kettlebells,Intermediate,Upper Body
Extended Range One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner,Upper Body
Kettlebell alternating floor press,Strength,Chest,Kettlebells,Beginner,Upper Body
One-Arm Kettlebell Floor Press,Strength,Chest,Kettlebells,Beginner,Upper Body
Leg-Over Floor Press,Strength,Chest,Kettlebells,Beginner,Upper Body
Band-suspended kettlebell bench press,Strength,Chest,Bands,Intermediate,Upper Body
FYR2 Push-Up to Kettlebell Hike Combo,Strength,Chest,Kettlebells,Intermediate,Upper Body
Pushups,Strength,Chest,Bodyweight,Intermediate,Upper Body
Incline Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Hands-elevated push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Decline Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Single-Arm Push-Up,Strength,Chest,Bodyweight,Beginner,Upper Body
Close push-up to wide push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Wide-grip hands-elevated push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Push-Ups With Feet On An Exercise Ball,Strength,Chest,Bodyweight,Intermediate,Upper Body
Feet-elevated push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Isometric Wipers,Strength,Chest,Bodyweight,Beginner,Upper Body
Clock push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Incline Push-Up Depth Jump,Plyometrics,Chest,Bodyweight,Intermediate,Upper Body
Push-Up Wide,Strength,Chest,Bodyweight,Beginner,Upper Body
Sphinx push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Close-Hands Push-Up,Strength,Chest,Bodyweight,Beginner,Upper Body
Tiger-bend push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Plyo push-up,Plyometrics,Chest,Bodyweight,Beginner,Upper Body
Close-grip hands-elevated push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Suspended push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Push Up to Side Plank,Strength,Chest,Bodyweight,Intermediate,Upper Body
Isometric Chest Squeezes,Plyometrics,Chest,Bodyweight,Beginner,Upper Body
Side-to-side push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Typewriter push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Diamond push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Judo push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Superman Push-Up,Plyometrics,Chest,Bodyweight,Beginner,Upper Body
Wide push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
One-Arm Push-Up,Strength,Chest,Bodyweight,Beginner,Upper Body
Clapping Push-Up,Plyometrics,Chest,Bodyweight,Beginner,Upper Body
Staggered push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Reverse-grip hands-elevated push-up,Strength,Chest,Bodyweight,Beginner,Upper Body
Triple Clap Push-Up,Plyometrics,Chest,Bodyweight,Beginner,Upper Body
Side kick-through push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Swimming,Cardio,Chest,Bodyweight,Intermediate,Upper Body
FYR Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Frog push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Wide push-up plank hold,Strength,Chest,Bodyweight,Intermediate,Upper Body
Close push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Push-Up - Gethin Variation,Strength,Chest,Bodyweight,Intermediate,Upper Body
HM Incline Push-Up On Chair,Strength,Chest,Bodyweight,Intermediate,Upper Body
HM Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
HM Push-Plank,Strength,Chest,Bodyweight,Intermediate,Upper Body
AM Chest Dips,Strength,Chest,Bodyweight,Intermediate,Upper Body
Push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
UP Push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
UN Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
UNS Foam Roll Pecs,Strength,Chest,Bodyweight,Intermediate,Upper Body
UN Hands Elevated Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Seal Drag to Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Hand-Elevated Push-Up with Hand Row,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Slow Hips-Up Chest Press,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Jump-Out Push-Up with Hand Hop Back,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Froggy Push-Up to Donkey Kick,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Push-Up to Sit Back,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Sit Back Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Alternating Staggered Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Foot-Up Diving Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Narrow Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Dynamo Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Jump to Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Foot-Elevated Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Holman Feet-Elevated Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Total Fitness Plyo Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Scapular push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
King Maker Push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Warrior push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Taylor Roll-Over Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Taylor One-Arm Push-Up Slow Negative,Strength,Chest,Bodyweight,Intermediate,Upper Body
30 Chest Push-Up To Isometric Hold,Strength,Chest,Bodyweight,Intermediate,Upper Body
30 Chest Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
30 Chest Bench Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn 3-Phase Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Fast Feet To Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Judo Push-Up To Pike Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Pike Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Push-Up To Frogger,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Push-Up With Hand Side-Step,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Push-Up With Hand-Up Rotation,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Sphinx Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
MetaBurn Spiderman Push-Up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Roberston Push-up to Down Dog,Strength,Chest,Bodyweight,Intermediate,Upper Body
FYR2 Push-Up-Breakdancer-Shoulder-Tap Complex,Strength,Chest,Bodyweight,Intermediate,Upper Body
ACFT Hand-release push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
1.5-rep push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
ACFT Triple-clap push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
ACFT Superman push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Cross-over push-up,Strength,Chest,Bodyweight,Intermediate,Upper Body
Leverage Incline Chest Press,Strength,Chest,Machine,Beginner,Upper Body
Butterfly,Strength,Chest,Machine,Intermediate,Upper Body
Leverage Chest Press,Strength,Chest,Machine,Beginner,Upper Body
Decline Smith Press,Strength,Chest,Machine,Beginner,Upper Body
Smith machine bench press,Strength,Chest,Machine,Intermediate,Upper Body
Leverage Decline Chest Press,Strength,Chest,Machine,Beginner,Upper Body
Machine chest press,Strength,Chest,Machine,Intermediate,Upper Body
Smith Machine Incline Bench Press,Strength,Chest,Machine,Intermediate,Upper Body
Smith Machine Close-Grip Bench Press,Strength,Chest,Machine,Intermediate,Upper Body
Smith Machine Decline Press,Strength,Chest,Machine,Beginner,Upper Body
Smith machine bench press throw,Strength,Chest,Machine,Beginner,Upper Body
Machine chest fly,Strength,Chest,Machine,Intermediate,Upper Body
Machine bench press,Strength,Chest,Machine,Intermediate,Upper Body
Machine Seated Chest Press - Gethin Variation,Strength,Chest,Machine,Intermediate,Upper Body
Smith machine weighted push-up,Strength,Chest,Machine,Intermediate,Upper Body
Smith machine incline bench press-,Strength,Chest,Machine,Intermediate,Upper Body
Smith machine decline bench press,Strength,Chest,Machine,Intermediate,Upper Body
AM Pec Dec,Strength,Chest,Machine,Intermediate,Upper Body
30 Chest Machine Flat Chest Press,Strength,Chest,Machine,Intermediate,Upper Body
Smith machine push-up,Strength,Chest,Machine,Intermediate,Upper Body
30 Chest Smith Machine Incline Chest Press,Strength,Chest,Machine,Intermediate,Upper Body
30 Chest Smith Machine Chest Press,Strength,Chest,Machine,Intermediate,Upper Body
30 Chest Machine Incline Chest Press,Strength,Chest,Machine,Intermediate,Upper Body
30 Chest Machine Fly,Strength,Chest,Machine,Intermediate,Upper Body
30 Chest 30-Degree Incline Smith Machine Press,Strength,Chest,Machine,Intermediate,Upper Body
Low-cable cross-over,Strength,Chest,Cable,Intermediate,Upper Body
Incline cable chest fly,Strength,Chest,Cable,Intermediate,Upper Body
Cable Crossover,Strength,Chest,Cable,Intermediate,Upper Body
Incline cable chest press,Strength,Chest,Cable,Beginner,Upper Body
Cable Chest Press,Strength,Chest,Cable,Beginner,Upper Body
Single-arm cable cross-over,Strength,Chest,Cable,Intermediate,Upper Body
Cable cross-over,Strength,Chest,Cable,Beginner,Upper Body
Standing Cable Chest Press,Strength,Chest,Cable,Beginner,Upper Body
Lying cable chest fly,Strength,Chest,Cable,Intermediate,Upper Body
Paul Carter Cable Cross-Over,Strength,Chest,Cable,Intermediate,Upper Body
One-Arm Cable Crossover - Gethin Variation,Strength,Chest,Cable,Intermediate,Upper Body
Incline Cable Fly - Gethin Variation,Strength,Chest,Cable,Intermediate,Upper Body
Cable Cross-Over - Gethin Variation,Strength,Chest,Cable,Intermediate,Upper Body
Seated cable chest fly,Strength,Chest,Cable,Intermediate,Upper Body
Single-arm incline cable cross-over-,Strength,Chest,Cable,Intermediate,Upper Body
High-to-low cable chest fly,Strength,Chest,Cable,Intermediate,Upper Body
UP Cable Cross-Over,Strength,Chest,Cable,Intermediate,Upper Body
UP Cable Fly,Strength,Chest,Cable,Intermediate,Upper Body
30 Chest Low-To-High Cable Fly,Strength,Chest,Cable,Intermediate,Upper Body
